start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
102.107.5.38,102.107.5.42,102.107.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
106.255.211.230,106.255.214.255,106.255.0.0,Seoul,Seoul,KR,37.566,126.9784,03141,Asia/Seoul
104.158.73.4,104.158.73.4,104.158.0.0,Windsor,Ontario,CA,42.30008,-83.01654,N8X,America/Toronto
108.196.133.39,108.196.133.39,108.196.0.0,Yuba City,California,US,39.14045,-121.61691,95991,America/Los_Angeles
106.71.76.188,106.71.76.207,106.71.0.0,Brisbane,Queensland,AU,-27.3188,153.06018,4017,Australia/Brisbane
102.168.118.82,102.168.118.85,102.168.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
104.169.65.178,104.169.65.181,104.169.0.0,Athens,Ohio,US,39.32924,-82.10126,45701,America/New_York
101.109.177.32,101.109.177.47,101.109.0.0,Bang Krathum,Phitsanulok,TH,16.57831,100.30034,65110,Asia/Bangkok
100.16.18.249,100.16.18.249,100.16.0.0,Bel Air,Maryland,US,39.5303,-76.3153,21015,America/New_York
1.247.168.128,1.247.168.135,1.247.0.0,Cheonan,Chungcheongnam-do,KR,36.8065,127.1522,31126,Asia/Seoul
105.112.153.84,105.112.153.87,105.112.0.0,Port Harcourt,Rivers,NG,4.77742,7.0134,,Africa/Lagos
107.207.254.0,107.207.254.255,107.207.0.0,Joshua,Texas,US,32.46153,-97.38807,76058,America/Chicago
106.79.127.229,106.79.127.229,106.79.0.0,Nashik,Maharashtra,IN,19.99727,73.79096,422221,Asia/Kolkata
106.212.186.176,106.212.186.191,106.212.0.0,Jalandhar,Punjab,IN,31.32556,75.57917,144301,Asia/Kolkata
104.59.78.0,104.59.78.255,104.59.0.0,San Diego,California,US,32.8919,-117.2035,92121,America/Los_Angeles
102.168.134.172,102.168.134.172,102.168.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
107.119.69.88,107.119.69.88,107.119.0.0,Nashville,Tennessee,US,36.16589,-86.78444,37201,America/Chicago
104.240.95.251,104.240.95.252,104.240.0.0,Kayenta,Arizona,US,36.72778,-110.25458,86033,America/Denver
101.191.1.78,101.191.1.79,101.191.0.0,Sydney,New South Wales,AU,-34.0041,151.0806,2225,Australia/Sydney
104.78.79.0,104.78.79.255,104.78.0.0,Chicago,Illinois,US,41.85003,-87.65005,60666,America/Chicago
1.54.8.252,1.54.8.255,1.54.0.0,Nam Định,Nam Định,VN,20.43389,106.17729,07150,Asia/Bangkok
107.127.8.95,107.127.8.95,107.127.0.0,Milwaukee,Wisconsin,US,43.0389,-87.90647,53201,America/Chicago
104.129.126.168,104.129.126.175,104.129.0.0,Hawkesbury,Ontario,CA,45.60009,-74.61595,K6A,America/Toronto
101.49.45.251,101.49.45.251,101.49.0.0,Richmond,Virginia,US,37.55376,-77.46026,23173,America/New_York
105.68.41.101,105.68.41.105,105.68.0.0,Sale,Rabat-Salé-Kénitra,MA,34.0531,-6.79846,,Africa/Casablanca
102.168.227.246,102.168.227.246,102.168.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
1.158.114.224,1.158.114.243,1.158.0.0,Sydney,New South Wales,AU,-33.758,150.67319,2750,Australia/Sydney
103.98.149.18,103.98.149.23,103.98.0.0,Hanoi,Hanoi,VN,21.0245,105.84117,10000,Asia/Bangkok
107.19.2.25,107.19.2.25,107.19.0.0,Springdale,Arkansas,US,36.1716,-94.0428,72764,America/Chicago
