start_ip,end_ip,join_key,asn,domain,name,type,country
2409:4252:4000::,2409:4252:7fff:ffff:ffff:ffff:ffff:ffff,2409:4252:4000::,AS55836,jio.com,Reliance Jio Infocomm Limited,isp,IN
2001:1af0:8000::,2001:1af0:8fff:ffff:ffff:ffff:ffff:ffff,2001:1af0:8000::,AS13046,iskon.hr,ISKON INTERNET d.d. za informatiku i telekomunikacije,isp,HR
2601:4f7:8000::,2601:4f7:bfff:ffff:ffff:ffff:ffff:ffff,2601:4f7:8000::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
2804:36e8::,2804:36e8:3fff:ffff:ffff:ffff:ffff:ffff,2804:36e8::,AS52924,,NEXCESS Soluções de Redes Ltda.,hosting,BR
2a01:12b7:4000::,2a01:12b7:7fff:ffff:ffff:ffff:ffff:ffff,2a01:12b7:4000::,AS5617,orange.pl,Orange Polska Spolka Akcyjna,isp,PL
2804:14d:fc00::,2804:14d:fc0f:ffff:ffff:ffff:ffff:ffff,2804:14d:c000::,AS28573,net.com.br,Claro NXT Telecomunicacoes Ltda,isp,BR
240a:42ee:8000::,240a:42ee:bfff:ffff:ffff:ffff:ffff:ffff,240a:42ee:8000::,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
2001:87d5:8000::,2001:87d5:bfff:ffff:ffff:ffff:ffff:ffff,2001:87d5:8000::,AS1221,telstra.com.au,Telstra Corporation Ltd,isp,AU
2c0e:7f9f:8000::,2c0e:7f9f:bfff:ffff:ffff:ffff:ffff:ffff,2c0e:7f9f:8000::,AS36974,mtn.ci,MTN COTE D'IVOIRE S.A,isp,CI
2a02:26f7:e681::,2a02:26f7:e683:ffff:ffff:ffff:ffff:ffff,2a02:26f7:c000::,AS20940,akamai.com,Akamai International B.V.,isp,NL
178.156.86.0,178.156.86.255,178.156.0.0,AS199952,tvt.es,Television Costablanca S.L.,isp,ES
207.168.24.0,207.168.93.255,207.168.0.0,AS4565,megapath.com,MegaPath Networks Inc.,isp,US
2a03:3e80::,2a03:3e80:3fff:ffff:ffff:ffff:ffff:ffff,2a03:3e80::,AS50372,planetary-networks.de,Planetary Networks GmbH,business,DE
2a0a:e785::,2a0a:e785:3fff:ffff:ffff:ffff:ffff:ffff,2a0a:e785::,AS62455,viatel.com,Wifiber Limited,isp,IE
240d:422a:c000::,240d:422a:ffff:ffff:ffff:ffff:ffff:ffff,240d:422a:c000::,AS133111,cernet.com,"CERNET New Technology Co., Ltd",isp,CN
2a07:984:4000::,2a07:984:7fff:ffff:ffff:ffff:ffff:ffff,2a07:984:4000::,AS48213,abicom.fr,ABICOM SAS,business,FR
2a0c:b641:610::,2a0c:b641:611:ffff:ffff:ffff:ffff:ffff,2a0c:b641::,AS208505,turtlebit.net,Michael Vieira,business,FR
2600:801f:8000::,2600:801f:bfff:ffff:ffff:ffff:ffff:ffff,2600:801f:8000::,AS29992,va.gov,Department of Veterans Affairs,business,US
2003:da2::,2003:da2:3fff:ffff:ffff:ffff:ffff:ffff,2003:da2::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
2a01:1751::,2a01:1751:3fff:ffff:ffff:ffff:ffff:ffff,2a01:1751::,AS5617,orange.pl,Orange Polska Spolka Akcyjna,isp,PL
2605:9cc0:450::,2605:9cc0:450:ffff:ffff:ffff:ffff:ffff,2605:9cc0::,AS14618,amazon.com,"Amazon.com, Inc.",hosting,US
84.254.124.0,84.254.127.255,84.254.0.0,AS35548,smartterra.net,smartTERRA GmbH,business,DE
104.160.190.0,104.160.191.255,104.160.0.0,AS46844,sharktech.net,Sharktech,hosting,US
45.146.16.0,45.146.19.255,45.146.0.0,AS12337,noris.de,noris network AG,isp,DE
2600:1005:b0c0::,2600:1005:b0cf:ffff:ffff:ffff:ffff:ffff,2600:1005:8000::,AS22394,verizonbusiness.com,Verizon Business,isp,US
2800:21ad:4000::,2800:21ad:7fff:ffff:ffff:ffff:ffff:ffff,2800:21ad:4000::,AS7303,telecom.com.ar,Telecom Argentina S.A.,isp,AR
80.69.48.0,80.69.63.255,80.69.0.0,AS34170,aztelekom.az,Aztelekom LLC,isp,AZ
52.128.36.0,52.128.39.255,52.128.0.0,AS55232,zultys.com,"Zultys, Inc.",business,US
121.11.0.0,121.11.255.255,121.11.0.0,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
2804:3ec8::,2804:3ec8:3fff:ffff:ffff:ffff:ffff:ffff,2804:3ec8::,AS266620,viplanet.com.br,(VIPLANET) E D TELECOMUNICES LTDA - ME,isp,BR
2a11:1144:8000::,2a11:1144:bfff:ffff:ffff:ffff:ffff:ffff,2a11:1144:8000::,AS34907,ipservices.pl,IP SERVICES Sp. z.o.o.,business,PL
193.35.148.0,193.35.148.255,193.35.0.0,AS43997,powerdns.com,PowerDNS.COM BV,business,NL
